"","Casos totales acumulados ","Casos nuevos totales ","Casos nuevos con sintomas ","Casos nuevos sin sintomas* ","Fallecidos totales ","% Total ",
"Arica - Parinacota ","654 ","18 ","18 ","0 ","8 ","0,60% ",
"Tarapaca ","2.594 ","68 ","60 ","8 ","23 ","2,39% ",
"Antofagasta ","2.649 ","64 ","58 ","6 ","34 ","2,44% ",
"Atacama ","236 ","4 ","3 ","1 ","O ","0,22% ",
"Coquimbo ","687 ","19 ","17 ","2 ","2 ","0,63% ",
"Valparaiso ","3.595 ","247 ","227 ","20 ","72 ","3,31% ",
"Metropolitana ","88.194 ","2.955 ","2.698 ","257 ","894 ","81,15% ",
"O'Higgins ","843 ","30 ","24 ","6 ","18 ","0,78% ",
"Maule ","1.381 ","40 ","36 ","4 ","17 ","1,27% ",
"Nuble ","1.290 ","O ","O ","O ","23 ","1,19% ",
"Biobio ","2.082 ","12 ","12 ","O ","11 ","1,92% ",
"Araucania ","2.141 ","30 ","21 ","9 ","47 ","1,97% ",
"De los Rios ","368 ","5 ","5 ","0 ","7 ","0,34% ",
"De los Lagos ","894 ","31 ","24 ","7 ","13 ","0,82% ",
"Aysen ","18 ","1 ","O ","1 ","O ","0,02% ",
"Magallanes ","1.060 ","3 ","3 ","O ","19 ","0,98% ",
"","108.686 ","3.527 ","3.206 ","321 ","1.188 ","100% ",
