Grupo de edad,Sexo,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-05-02,2020-05-04,2020-05-06,2020-05-08,2020-05-18,2020-05-22
00  15 años,M,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,5.0,7.0,8.0,8.0,8.0,11.0,12.0,16.0,20.0,21.0,21.0,,,,,,,,,,,,,
15  29 años,M,2.0,6.0,8.0,8.0,9.0,9.0,11.0,12.0,13.0,15.0,15.0,16.0,18.0,19.0,21.0,30.0,40.0,51.0,52.0,54.0,56.0,59.0,67.0,71.0,74.0,79.0,80.0,85.0,,,,,,,,,,,,,
30  44 años,M,9.0,26.0,28.0,34.0,42.0,43.0,46.0,49.0,52.0,54.0,64.0,70.0,75.0,82.0,84.0,95.0,104.0,126.0,131.0,135.0,140.0,154.0,167.0,191.0,198.0,205.0,207.0,214.0,,,,,,,,,,,,,
45  59 años,M,8.0,17.0,20.0,23.0,32.0,35.0,39.0,48.0,56.0,60.0,65.0,72.0,76.0,83.0,92.0,103.0,128.0,158.0,169.0,178.0,183.0,193.0,211.0,229.0,250.0,259.0,261.0,267.0,,,,,,,,,,,,,
60  79 años,M,11.0,22.0,25.0,28.0,32.0,35.0,36.0,43.0,55.0,57.0,70.0,86.0,90.0,94.0,103.0,121.0,145.0,174.0,190.0,198.0,203.0,216.0,235.0,267.0,279.0,291.0,293.0,305.0,,,,,,,,,,,,,
80 y más años,M,2.0,3.0,6.0,6.0,8.0,8.0,8.0,10.0,14.0,15.0,17.0,19.0,24.0,25.0,29.0,34.0,35.0,41.0,51.0,52.0,55.0,58.0,63.0,65.0,66.0,68.0,73.0,76.0,,,,,,,,,,,,,
00  15 años,F,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,7.0,7.0,7.0,8.0,10.0,11.0,11.0,13.0,15.0,16.0,16.0,16.0,,,,,,,,,,,,,
15  29 años,F,9.0,13.0,16.0,17.0,18.0,18.0,18.0,18.0,22.0,22.0,22.0,22.0,27.0,30.0,34.0,43.0,51.0,55.0,60.0,61.0,63.0,69.0,76.0,80.0,85.0,87.0,89.0,91.0,,,,,,,,,,,,,
30  44 años,F,7.0,20.0,24.0,26.0,26.0,28.0,30.0,36.0,39.0,40.0,46.0,50.0,54.0,56.0,60.0,70.0,80.0,93.0,105.0,111.0,113.0,118.0,133.0,150.0,154.0,161.0,164.0,170.0,,,,,,,,,,,,,
45  59 años,F,6.0,19.0,25.0,27.0,31.0,31.0,37.0,42.0,46.0,46.0,52.0,59.0,61.0,67.0,72.0,88.0,112.0,126.0,139.0,141.0,150.0,159.0,180.0,196.0,204.0,206.0,209.0,212.0,,,,,,,,,,,,,
