Grupo de edad,Sexo,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-05-02
00 - 5 años,M,11,12,12,12,12,13,14,17
5 - 17 años,M,15,15,15,15,15,15,15,18
18 - 49 años,M,381,392,396,402,403,406,409,488
50 - 59 años,M,199,205,210,216,220,221,225,282
60 - 69 años,M,174,177,182,187,187,197,201,268
70 - 79 años,M,153,157,158,159,162,164,167,216
80 y más años,M,76,80,81,87,89,93,101,125
00 - 5 años,F,8,10,11,15,16,16,16,20
5 - 17 años,F,14,14,14,14,14,14,16,15
18 - 49 años,F,307,311,316,321,325,330,340,404
50 - 59 años,F,164,164,168,172,176,177,184,214
60 - 69 años,F,123,128,130,134,137,138,142,192
70 - 79 años,F,119,123,123,125,129,131,135,172
80 y más años,F,75,82,89,96,97,97,102,124
