Region,Arica y Parinacota,Tarapacá,Antofagasta,Atacama,Coquimbo,Valparaíso,Metropolitana,O’Higgins,Maule,Ñuble,Biobío,Araucanía,Los Ríos,Los Lagos,Aysén,Magallanes
Codigo region,15,01,02,03,04,05,13,06,07,16,08,09,14,10,11,12
SE7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SE8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SE9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SE10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SE11,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
SE12,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
SE13,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
SE14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SE15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SE16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SE17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SE18,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
SE19,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SE20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SE21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
