Dato,Fecha,Total
Casos nuevos con sintomas,2020-03-02,1.0
Casos totales,2020-03-02,1.0
Casos recuperados,2020-03-02,0.0
Fallecidos,2020-03-02,0.0
Casos activos,2020-03-02,1.0
Casos nuevos sin sintomas,2020-03-02,
Casos nuevos totales,2020-03-02,1.0
Casos activos por FD,2020-03-02,1.0
Casos activos por FIS,2020-03-02,
Casos recuperados por FIS,2020-03-02,
Casos recuperados por FD,2020-03-02,0.0
Casos nuevos con sintomas,2020-03-03,0.0
Casos totales,2020-03-03,1.0
Casos recuperados,2020-03-03,0.0
Fallecidos,2020-03-03,0.0
Casos activos,2020-03-03,1.0
Casos nuevos sin sintomas,2020-03-03,
Casos nuevos totales,2020-03-03,0.0
Casos activos por FD,2020-03-03,1.0
Casos activos por FIS,2020-03-03,
Casos recuperados por FIS,2020-03-03,
Casos recuperados por FD,2020-03-03,0.0
Casos nuevos con sintomas,2020-03-04,2.0
Casos totales,2020-03-04,3.0
Casos recuperados,2020-03-04,0.0
Fallecidos,2020-03-04,0.0
Casos activos,2020-03-04,3.0
Casos nuevos sin sintomas,2020-03-04,
Casos nuevos totales,2020-03-04,2.0
Casos activos por FD,2020-03-04,3.0
Casos activos por FIS,2020-03-04,
Casos recuperados por FIS,2020-03-04,
Casos recuperados por FD,2020-03-04,0.0
Casos nuevos con sintomas,2020-03-05,1.0
Casos totales,2020-03-05,4.0
Casos recuperados,2020-03-05,0.0
Fallecidos,2020-03-05,0.0
Casos activos,2020-03-05,4.0
Casos nuevos sin sintomas,2020-03-05,
Casos nuevos totales,2020-03-05,1.0
Casos activos por FD,2020-03-05,4.0
Casos activos por FIS,2020-03-05,
Casos recuperados por FIS,2020-03-05,
Casos recuperados por FD,2020-03-05,0.0
Casos nuevos con sintomas,2020-03-06,1.0
Casos totales,2020-03-06,5.0
Casos recuperados,2020-03-06,0.0
Fallecidos,2020-03-06,0.0
Casos activos,2020-03-06,5.0
Casos nuevos sin sintomas,2020-03-06,
Casos nuevos totales,2020-03-06,1.0
Casos activos por FD,2020-03-06,5.0
Casos activos por FIS,2020-03-06,
Casos recuperados por FIS,2020-03-06,
Casos recuperados por FD,2020-03-06,0.0
Casos nuevos con sintomas,2020-03-07,2.0
Casos totales,2020-03-07,7.0
Casos recuperados,2020-03-07,0.0
Fallecidos,2020-03-07,0.0
Casos activos,2020-03-07,7.0
