Region,Codigo region,Poblacion,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21
Arica y Parinacota,15,252110,70,-,-,103,-,93,24,198,131,-,155,48,52
Tarapacá,01,382773,-,-,-,-,-,-,-,30,-,60,0,0,30
Antofagasta,02,691854,182,128,107,175,103,95,117,117,143,200,129,197,147
Atacama,03,314709,57,52,60,25,20,22,25,29,37,50,31,33,33
Coquimbo,04,836096,-,-,-,-,-,-,-,-,-,-,-,-,-
Valparaíso,05,1960170,301,249,248,273,223,92,385,240,246,330,166,177,142
Metropolitana,13,8125072,5383,3158,2105,3861,1850,1656,2694,4356,3670,2744,3475,3276,2126
O’Higgins,06,991063,68,-,74,-,74,30,30,58,50,-,0,72,65
Maule,07,1131939,397,219,-,341,113,160,-,469,367,176,0,328,188
Ñuble,16,511551,364,-,259,189,65,-,-,110,159,76,127,149,73
Biobío,08,1663696,592,149,281,469,,218,311,408,80,751,358,214,216
Araucanía,09,1014343,124,148,126,184,232,148,218,246,220,169,122,376,206
Los Ríos,14,405835,-,91,-,-,-,67,67,49,71,91,0,121,58
Los Lagos,10,891440,341,199,178,225,39,131,137,139,198,315,96,139,149
Aysén,11,107297,10,-,,7,-,12,8,16,8,8,6,0,4
Magallanes,12,178362,73,24,46,45,45,35,63,86,69,48,93,48,41
